animal,date,k,state,block,session,start_s,end_s,lambda,fit_r2,rho_raw,candidate,nodes,Q,Q_over_awake,Cspec,Cspec_over_awake,Aspec,Aspec_over_awake,Deff_frac,Deff_frac_over_awake,Gpair,Gpair_over_awake,Oorg,Oorg_over_awake,top_share,top_share_over_awake,WMI,WMI_over_awake
Su,20110526,3,recovery_eyes_closed,4,3,1526.544,1606.544,0.003,0.21220219560531906,0.8343301459449445,30;35;58,BP061-062;BP071-072;BP117-118,0.2800603842789408,1.5493441425167649,0.29412311469751573,1.509217751406272,0.9521876054079006,1.0265875425021362,0.7346171196344659,0.778537508871345,0.4657872090890095,0.7674955593755702,0.34217525790354486,0.5975240808660759,0.6596635418501444,1.3495102177276637,0.09582973421921245,0.9257704347025686
Su,20110526,3,recovery_eyes_closed,5,3,1856.702,1936.702,0.003,0.26605722253836783,0.8494329285770411,30;35;58,BP061-062;BP071-072;BP117-118,0.2803660357337261,1.5510350610390062,0.2921068906997676,1.4988720121693464,0.9598063060480523,1.0348015363861276,0.775321266440193,0.8216752253877155,0.47845867200368675,0.7883748178181278,0.3709591835171913,0.6477880561207093,0.6047505712366689,1.237171714494907,0.10400435570173466,1.0047419871655232
Su,20110526,3,recovery_eyes_closed,6,3,2186.86,2266.86,0.003,0.20309426507621486,0.84836467196531,30;35;58,BP061-062;BP071-072;BP117-118,0.24392604429729128,1.3494425100941037,0.25172594223526035,1.2916674736755518,0.969014326180655,1.0447290325072194,0.7717426344350743,0.8178826385122304,0.4607394712417719,0.7591782069299677,0.3555722933243482,0.6209186749848661,0.5848464534374762,1.196452759086928,0.08673334297232438,0.8378940553358826
Su,20110526,3,recovery_eyes_open,1,3,2451.49,2531.49,0.003,0.1824072394138042,0.6939298496370403,30;35;58,BP061-062;BP071-072;BP117-118,0.1883144914922237,1.0417894522843414,0.19648388803967598,1.0082069612235958,0.9584220536912287,1.03330912436866,0.7913473815708815,0.8386594902751714,0.4570242432244656,0.7530564823533588,0.36166493819009454,0.6315579656388816,0.6434993762083068,1.3164422894417955,0.06810674892583417,0.6579504271087434
Su,20110526,3,recovery_eyes_open,2,3,2601.868,2681.868,0.003,0.174659548894881,0.6841327759101499,30;35;58,BP061-062;BP071-072;BP117-118,0.14449308480696604,0.7993615918089879,0.14799668252355994,0.7594072320480618,0.9763265118051808,1.0526125615806585,0.841047820884027,0.891331358624661,0.5419697557449945,0.8930244814229282,0.455822482054376,0.7959807243117819,0.4838471118043624,0.9898328159332146,0.06586319655640464,0.6362764188351366
Su,20110526,3,recovery_eyes_open,3,3,2752.246,2832.246,0.003,0.18432988798547523,0.6972157600976618,30;35;58,BP061-062;BP071-072;BP117-118,0.23003612373265422,1.2726009849271265,0.2328560328965059,1.194841346389488,0.9878899029208104,1.0650794674729063,0.85876480871099,0.910107588035665,0.5327866952215824,0.8778931982196382,0.45753846440572277,0.7989772611845909,0.5468059098582166,1.1186311136703206,0.10525037481048351,1.016779249517889
Su,20110526,3,recovery_eyes_open,4,3,2902.624,2982.624,0.003,0.18153942509592047,0.7015715452624681,30;35;58,BP061-062;BP071-072;BP117-118,0.16406636648604944,0.9076444872902498,0.16650205080442076,0.8543628098662428,0.9853714455371342,1.0623642284152661,0.80040962555193,0.8482635366079065,0.47233703491748635,0.7782879601541816,0.3780631092526141,0.6601932975797394,0.5805374048912386,1.1876374999845034,0.062027440637494755,0.5992208070942222
Su,20110526,3,recovery_eyes_open,5,3,3053.002,3133.002,0.003,0.19519629871501842,0.6967784144859523,30;35;58,BP061-062;BP071-072;BP117-118,0.1656632873594983,0.9164789392164332,0.1703915363148666,0.8743207128084828,0.9722506818259392,1.0482182633790411,0.8208573937467484,0.8699338109411454,0.47089874496825296,0.7759180343005065,0.3865407165132549,0.6749973325570021,0.4739171853152143,0.9695186157262337,0.06403560579588172,0.6186208393157634
Su,20110526,3,recovery_eyes_open,6,3,3203.38,3283.38,0.003,0.19491740695858717,0.7246968900256806,30;35;58,BP061-062;BP071-072;BP117-118,0.16168911841625197,0.8944931257303743,0.1665044855599157,0.8543753031931174,0.9710796551367924,1.0469557375866574,0.8134672202003498,0.8621018027437284,0.5493702232326172,0.9052185172899979,0.44689466835388275,0.7803905156327121,0.6022840525241008,1.2321258206510672,0.07225800495106262,0.6980539516186435
Su,20110526,4,eyes_open,1,1,44.88,124.88,0.003,0.31024903531269454,0.9167571860749522,7;30;35;58,BP015-016;BP061-062;BP071-072;BP117-118,0.4514875548139668,2.129768408564456,0.4713120583622668,2.0560367142434743,0.9579376271059413,1.035861078652047,0.7273137107366417,0.7836877301009099,0.297745110878187,0.4334295056740587,0.21655410144650702,0.3396733854604625,0.6017751502713924,1.4775480295394339,0.09777148174701916,0.7234256455838309
