animal,fold,heldout_date,training_dates,lambda,k,candidate,Q_deep_anesthesia_over_awake,Cspec_deep_anesthesia_over_awake,Aspec_deep_anesthesia_over_awake,Deff_frac_deep_anesthesia_over_awake,Gpair_deep_anesthesia_over_awake,Oorg_deep_anesthesia_over_awake,top_share_deep_anesthesia_over_awake,WMI_deep_anesthesia_over_awake,Q_recovery_eyes_closed_over_awake,Q_recovery_eyes_open_over_awake,Cspec_recovery_eyes_closed_over_awake,Cspec_recovery_eyes_open_over_awake,Aspec_recovery_eyes_closed_over_awake,Aspec_recovery_eyes_open_over_awake,Deff_frac_recovery_eyes_closed_over_awake,Deff_frac_recovery_eyes_open_over_awake,Gpair_recovery_eyes_closed_over_awake,Gpair_recovery_eyes_open_over_awake,Oorg_recovery_eyes_closed_over_awake,Oorg_recovery_eyes_open_over_awake,top_share_recovery_eyes_closed_over_awake,top_share_recovery_eyes_open_over_awake,WMI_recovery_eyes_closed_over_awake,WMI_recovery_eyes_open_over_awake
Kin2,LODO,20110524,20110513;20110525,0.01,5,9;21;27;35;37,4.244078184674256,4.623129791693516,0.9180097414309436,0.9874251857197416,0.7646082502970489,0.7549934435524102,1.116285859521278,3.204251203352885,1.2123181638619025,0.9477529847432096,1.1869380727834675,0.942376953800645,1.021382826670069,1.0057047563831891,0.9053738600671822,0.9966836060149538,0.6981550581513148,0.9816918307710736,0.6320913399238839,0.9784361538883352,1.290521582658112,0.9794401559706218,0.7662958126095327,0.927315785228337
Kin2,LODO,20110525,20110513;20110524,0.01,3,27;35;37,3.098999741516592,2.898046934923588,1.0693407702171334,0.88158016737519,0.5684738007062001,0.5011552283749823,1.409320990801358,1.5530799231937602,0.7568923947698484,0.8606145297288603,0.7513172556385112,0.8732400407276055,1.007420485939191,0.9855417635359172,0.9824246845912572,1.0178365744114848,0.7622848339041081,0.9195372335038312,0.7488874375169423,0.9359386277933532,1.0897804887574236,1.0200355952207,0.5668272059952532,0.8054823820134519
Kin2,LODO,20110525,20110513;20110524,0.01,4,9;27;35;37,3.3179102935769453,3.1824036290726894,1.0425799742265065,0.9018803057426154,0.7259402381882936,0.6547112039681252,1.3513510831827238,2.172273042966001,1.0041086196890214,1.051124230351077,0.9791340474291688,1.067389129288874,1.0255067958523418,0.9847619780907524,0.9320944505193716,0.9875578944697352,0.7499694742680453,0.781897137362943,0.6990423850241757,0.7721686906660612,1.2419187487669043,1.0650609784831682,0.701914484330747,0.8116452206775637
Kin2,LODO,20110525,20110513;20110524,0.01,5,9;21;27;35;37,3.179045832203021,3.2762024243921952,0.9703447529780768,0.9616663258542352,0.7438835688260965,0.7153677784963283,1.1252271462429424,2.274186954721094,0.9485664479660016,0.9826846408031744,0.946281557591164,0.9854547504240304,1.002414598864902,0.9971890037369407,0.919699330074282,0.9779203165639244,0.7646810434286087,0.7945242024732392,0.7032766433617944,0.7769813596003297,1.0891602133296998,0.9315462315803232,0.6671046275311497,0.7635276482696134
Su,LODO,20110523,20110526;20110527,0.003,3,22;33;36,0.748627544398992,0.7650399447682715,0.9785470020467352,0.8995730296342633,0.6179106048425475,0.5558557148413505,1.4342172656471028,0.4161288988418273,0.89547386607517,0.6463291811063393,0.9000582994733919,0.6592595244805076,0.9949065150547424,0.9803865656937496,0.7999679622918013,0.8176731557091952,0.4215445889048343,0.4783617434578438,0.3372221658013355,0.3911435563437276,1.5571747692983413,1.442194151963241,0.301973636536364,0.252807494466663
Su,LODO,20110523,20110526;20110527,0.003,4,13;22;33;36,2.884564949421688,2.868724351018507,1.005521826590818,0.4941152563731558,0.3121435508493444,0.154234890653151,2.3717985838529625,0.4449005595559668,0.785089999177722,0.6509381627943546,0.7724608932651693,0.6759161111958024,1.0163491848230268,0.9630457863221252,0.8433046732848418,0.8812477703194649,0.5600057596190522,0.6730100011185127,0.4722554741531745,0.59308856288839,1.4178831356603432,1.1852323640363618,0.3707630498145903,0.3860639795009148
Su,LODO,20110523,20110526;20110527,0.003,5,13;22;26;33;36,2.9210574281830244,2.8465524244326046,1.0261737683490129,0.5351158771838269,0.3399343645179732,0.181904275653962,2.4813742165712056,0.5313528356172587,0.6611048803169177,0.5445954338376482,0.6279762858381908,0.547545777577993,1.0527545310640332,0.9946116948369224,0.7496589100110153,0.8073489885053557,0.5327226253354057,0.6291652524297744,0.3993602626471467,0.5079559301518951,1.683487141101377,1.406913281291937,0.2640190186406745,0.2766304801514793
Su,LODO,20110526,20110523;20110527,0.003,3,30;35;58,1.3597217990781123,1.4169179642730554,0.9596333968252796,0.8400312000462674,0.6600651814086969,0.5544753464475048,1.3645617035365256,0.7539322156160625,0.9887554560819982,0.7480670723408416,0.9581344763744932,0.716101960950041,1.031958958228257,1.044637653761474,0.8133907696274092,0.9015598398627256,0.6206081687042497,0.7098954184597,0.5047969559794067,0.6400131997858096,1.2699839585160937,1.11193162561294,0.4991207444382229,0.4787728006232641
Su,LODO,20110526,20110523;20110527,0.003,4,7;30;35;58,1.6369381144400488,1.9952116664137547,0.8204333114101743,0.9139215019526012,0.6689621161672851,0.6113788619569955,1.1160618129765234,1.0007893615003902,0.8625469338384385,0.6418537424745282,0.849370716584928,0.6134690775443912,1.0155129167938448,1.0462691046201642,0.6821538807364952,0.7187873730915738,0.5469839818572855,0.6223062578502375,0.3731272459246479,0.4473058803386198,1.484283748789217,1.3228471002378366,0.3218397619038862,0.2871049533262066
Su,LODO,20110526,20110523;20110527,0.003,5,13;26;33;35;58,3.9057202245549534,3.855391464258876,1.0130541245325273,0.4982518908492962,0.1904728699653375,0.0949034676157215,2.1862858927272164,0.3706663928471205,0.6642672324609792,0.5698572891053618,0.7416631205103894,0.5980255458596492,0.8956454946874683,0.9528979038616218,0.6947075815766912,0.7906266146784786,0.6130331063453873,0.647300989702146,0.4258787467356506,0.5117733901662365,1.5393514747726706,1.2596257969431128,0.282897296458043,0.2916377967563914
Su,LODO,20110527,20110523;20110526,0.003,3,22;33;36,1.0832348650212236,1.153526105979631,0.9390640223970376,0.8557115937273814,0.4214682449394598,0.3606552635826274,1.4796293170647763,0.3906743557661222,0.7372226192501907,0.8825126158461296,0.7539153497932664,0.9271139025387432,0.9778586143024504,0.9518923332176548,0.9251622284651178,0.9084701511725262,0.5987245290165139,0.526346625265181,0.553917319501646,0.4781701982238078,1.1900016976662875,1.372395211404412,0.4083603771310489,0.4219912324541541
Su,LODO,20110527,20110523;20110526,0.003,4,30;33;35;58,0.886370331890567,1.0348573705113011,0.8565144889992234,0.8902185109364611,1.09475605771176,0.9745721075348336,1.243213187820717,0.8638318024069432,0.6832541271910237,0.5041674149494556,0.6997234473980288,0.5593179260038141,0.9764631008604222,0.9013968469625228,0.8320322672550503,0.96758419298391,0.9854142765940525,1.0571224740601133,0.8198964747400447,1.0228549959486088,1.1615288732318565,1.0031997732030264,0.5601976502355077,0.5156901591755463
Su,LODO,20110527,20110523;20110526,0.003,5,26;30;33;35;58,1.2913427684431125,1.3664198770258535,0.9450556085687558,0.8002102180428192,0.9189656882150742,0.735365733740454,1.6157006937720724,0.9496092224266052,0.6140936188362159,0.4757800826266852,0.6194504728072205,0.4956637225632663,0.991352248151933,0.9598848190185169,0.6711866630968454,0.8571329490174106,0.8114637182001188,0.8918510365287783,0.5446436252428967,0.7644349090241461,1.5547297355931875,1.290650361935534,0.3344621748014891,0.3637029041782314
