animal,local_pair_index,pair_id,ch1,ch2,distance_px,x1,y1,x2,y2,mid_x,mid_y,algorithm,bottleneck_threshold_px
Su,17,BP030-040,30,40,35.7655967112655,472.3262696471098,710.6386110908338,482.719020588872,744.8609522728071,477.5226451179909,727.7497816818204,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,18,BP034-035,34,35,53.57316146602882,651.023848340189,643.1272653045776,703.2762905751606,631.3050019871686,677.1500694576748,637.216133645873,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,19,BP036-047,36,47,45.35732427037773,290.7418156924297,864.9502586022769,322.2087560438768,897.6170388214333,306.47528586815326,881.2836487118551,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,20,BP037-048,37,48,47.191968487545154,333.75625709027935,827.3056833021064,358.58338434004474,867.4391561427841,346.169820715162,847.3724197224453,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,21,BP038-049,38,49,53.32452162567435,373.3064481742079,786.8610982688652,405.35076357797504,829.4834686500501,389.3286058760915,808.1722834594577,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,22,BP039-050,39,50,44.02358516274749,437.10639145558207,757.6165521679063,451.25208023742505,799.305585971401,444.17923584650356,778.4610690696536,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,23,BP041-042,41,42,44.76590908827049,527.1768996175219,713.7497330164679,569.0365909107311,697.8830111957348,548.1067452641265,705.8163721061013,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,24,BP043-044,43,44,50.24013255682953,614.360532517861,691.3496551519034,663.7260994912318,682.0162893750017,639.0433160045463,686.6829722634526,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,25,BP045-046,45,46,38.351736971152484,746.0020444468499,658.9939871253105,782.954047795338,669.2606894799026,764.4780461210939,664.1273383026065,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,26,BP051-060,51,60,43.548186292407635,508.12352289095753,780.0166300324706,532.9506501407232,815.7945321772609,520.5370865158403,797.9055811048657,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
Su,27,BP052-061,52,61,36.969447659344794,558.0664649166487,756.3721033976527,572.789528750812,790.2833323870625,565.4279968337303,773.3277178923577,"minimum-bottleneck, minimum-total-distance perfect matching on official NeuroTycho X/Y coordinates",56.61763780924511
