animal,fold,heldout_date,training_dates,lambda,k,evaluation,candidate,Q,Cspec,Aspec,Deff,Deff_frac,Gpair,WMI,Oorg,top_share,singular_values
Kin2,LODO,20110513,20110524;20110525,0.01,5,deep_anesthesia,9;15;27;36;37,1.0678503601509972,1.4340707492070104,0.7446287853939425,4.285440742715471,0.8570881485430941,0.5137314306032134,0.4701885245230845,0.4403131207041031,0.4124623275241627,0.440448044995;0.235966091596;0.164091212169;0.145369815904;0.081975195486
Kin2,LODO,20110513,20110524;20110525,0.01,5,eyes_open,9;15;27;36;37,0.2312923224085991,0.2839795258774922,0.8144683025788904,4.102720503755096,0.8205441007510192,0.5792744749163229,0.1099379252292463,0.475320253108233,0.3803128425410413,0.0879634405931;0.0535709397761;0.0491227244768;0.0350142378511;0.00562097971144
Kin2,LODO,20110513,20110524;20110525,0.01,5,eyes_closed,9;15;27;36;37,0.3142401111553975,0.3644386322693415,0.86225795876425,4.0758991677103,0.8151798335420599,0.7940599141345308,0.203408135730695,0.6473016286266092,0.3940250138468181,0.123818464149;0.0926757787884;0.052334819936;0.0239890503783;0.0214219979035
Kin2,LODO,20110513,20110524;20110525,0.01,5,recovery_eyes_closed,9;15;27;36;37,0.2385546988330956,0.2865595906853325,0.8324785021592579,3.7466397178963726,0.7493279435792746,0.536149268587559,0.0958397388337115,0.4017516288822477,0.3864271608476695,0.0921840149769;0.0703400265747;0.049027811014;0.0257261776995;0.00127666856795
Kin2,LODO,20110513,20110524;20110525,0.01,5,recovery_eyes_open,9;15;27;36;37,0.2104907397433937,0.2429510123788902,0.8663916963438141,4.226615881162441,0.8453231762324881,0.7694081308964944,0.1369028666612665,0.6503985250285266,0.35608640050252,0.0749528898543;0.0535311277506;0.0421596389026;0.032794863749;0.00705221948689
Kin2,LODO,20110524,20110513;20110525,0.01,3,heldout_awake,27;35;56,0.2781836700690261,0.2950357920051983,0.9428810930984424,2.703510514009712,0.9011701713365708,0.5998373217741154,0.1503737134327269,0.5405555020372493,0.5135160926045144,0.14285179128;0.093174058593;0.0421578201958
Kin2,LODO,20110524,20110513;20110525,0.01,3,deep_anesthesia,27;35;56,1.021820380886682,1.2156489838562945,0.840555451825619,2.302252648788496,0.7674175495961651,0.4345077232556029,0.340724833223994,0.3334488522614234,0.6795410768974735,0.694368922024;0.214156621454;0.113294837409
Kin2,LODO,20110524,20110513;20110525,0.01,3,eyes_open,27;35;56,0.1430287017822489,0.1803013433607153,0.7932758520611919,2.568518205161336,0.8561727350537786,0.6347791160735062,0.0777333206518384,0.5434805719636738,0.5618751368488617,0.0803642713872;0.045406996538;0.017257433857
Kin2,LODO,20110524,20110513;20110525,0.01,3,eyes_closed,27;35;56,0.5445298523512989,0.575024806893666,0.9469675843950048,2.6350953938191046,0.8783651312730348,0.5462596289454207,0.2612738147377076,0.4798154106878037,0.4757113575102525,0.259039035267;0.222380645139;0.0631101719459
Kin2,LODO,20110524,20110513;20110525,0.01,3,recovery_eyes_closed,27;35;56,0.2809222176736236,0.2882739552884183,0.9744973922203988,2.773504015135184,0.9245013383783948,0.4506010757941303,0.1170269419761876,0.4165812976464179,0.4842284110315202,0.136030519088;0.0969299601688;0.0479617384173
Kin2,LODO,20110524,20110513;20110525,0.01,3,recovery_eyes_open,27;35;56,0.1985670264997517,0.2337680975065098,0.8494188412267082,2.7628547625521658,0.9209515875173886,0.6303873198532695,0.1152793189396796,0.5805562029697003,0.4739471812083992,0.0941102824905;0.0723715498187;0.0320851941906
Kin2,LODO,20110524,20110513;20110525,0.01,4,heldout_awake,9;27;35;56,0.3368144663677153,0.3613863196943794,0.9320066865080994,3.617031875550077,0.9042579688875192,0.6409781186313352,0.1952208885785702,0.5796095716549146,0.4192937808524624,0.141224211049;0.0933833886361;0.0617784703027;0.0404283963797
Kin2,LODO,20110524,20110513;20110525,0.01,4,deep_anesthesia,9;27;35;56,1.2944345925235647,1.5299119969028228,0.8460843467755256,3.2391271086740048,0.8097817771685012,0.5635896604581313,0.590760061421453,0.4563846368395777,0.5206882738174312,0.673996913551;0.317421466915;0.19830518999;0.104711022068
Kin2,LODO,20110524,20110513;20110525,0.01,4,eyes_open,9;27;35;56,0.1830015159404481,0.2237850066240507,0.8177559287869669,3.5386346566964924,0.8846586641741231,0.6404641230634601,0.1036872197275572,0.5665921355607718,0.4335675523108672,0.0793435193355;0.045924753657;0.0408791996801;0.0168540432678
Kin2,LODO,20110524,20110513;20110525,0.01,4,eyes_closed,9;27;35;56,0.6338365094255772,0.6755215567550308,0.9382920546167408,3.4561183143255154,0.8640295785813789,0.5906368360003811,0.3234643258153215,0.5103276965040482,0.4085639629127853,0.25896275613;0.220272905949;0.0944918259334;0.0601090214132
