animal,date,state,block,session,start_s,rms_median,delta_fraction,theta_fraction,alpha_fraction,autocorr_25ms,autocorr_50ms,autocorr_100ms,pc1_variance_fraction,covariance_effective_rank,mean_abs_correlation
George,20110114,recovery_eyes_closed,6,2,3569.15,97.53334846446573,0.601910393604929,0.13426416596204854,0.07877755872932662,0.5634788043029086,0.37160506043919395,0.16778377804840186,0.1351438951098474,28.9725657887581,0.06072967106956369
George,20110114,recovery_eyes_open,1,2,3709.15,83.43850398640886,0.5460125729133051,0.17100511490559453,0.0830228071586104,0.5477051313408514,0.34219330264621717,0.10071420315033768,0.14635552797786114,25.027065268029727,0.06231969011524425
George,20110114,recovery_eyes_open,2,2,3808.744,92.12161628574276,0.5552300159723125,0.1560742088596861,0.08384305154542986,0.5679493092631676,0.35940466224004686,0.11703602396373378,0.1669403355751027,24.207322879091745,0.062481331385158
George,20110114,recovery_eyes_open,3,2,3908.338,92.00441262028542,0.5640453584476851,0.1753494653102516,0.08311008186982552,0.5806363380956414,0.3462934696014453,0.09992190591736384,0.15402666507227947,24.812843445467326,0.05879344060426796
George,20110114,recovery_eyes_open,4,2,4007.932,96.68694998048353,0.5797256451880057,0.16674985911923684,0.07575671012361496,0.5817726362736508,0.3784165731179549,0.11082039215305661,0.15857415689331147,24.525316580906576,0.06475513913626298
George,20110114,recovery_eyes_open,5,2,4107.526,96.74440388678518,0.6000419716467575,0.15242935908652738,0.07589022849224937,0.5880125987372447,0.378403530036574,0.12453371013074405,0.15286611881688558,24.96424562581311,0.06161713982383732
George,20110114,recovery_eyes_open,6,2,4207.12,100.22657025769628,0.6020294542614829,0.15599398607652304,0.0717130227029525,0.5823389253029508,0.3808426197638491,0.12662433771061246,0.15937692377494034,25.501526874013113,0.06656262746437912
Kin2,20110513,eyes_open,1,1,89.72999999999999,101.18856482916081,0.4366529341519143,0.18583091387516576,0.11442681496172691,0.4764678601403771,0.27155744715870167,0.06269170304192023,0.9819545924155422,1.1584217888832407,0.06567893488232451
Kin2,20110513,eyes_open,2,1,301.67,100.9718094135848,0.4492593675930495,0.1969387490746598,0.1115617231763773,0.46798150246322845,0.25395967115269197,0.04764079220382106,0.9748502375798367,1.2180976123505647,0.0631584500996668
Kin2,20110513,eyes_open,3,1,513.61,98.00982681199969,0.464153751959366,0.18281631339991158,0.10672428467484663,0.4693058715381354,0.26761084243566835,0.05504800741570608,0.9684346748633877,1.2736576329295475,0.06195318388535361
Kin2,20110513,eyes_open,4,1,725.55,105.10215356522261,0.44745981454994593,0.22807360175480518,0.1222877695561625,0.4607339213184054,0.23482577088443252,0.0021915212458036484,0.9149322000708233,1.7557514092407513,0.060553877203304456
